zone,pax,summer,winter
A,1,199.8,199.8
A,2,299.6,299.5
A,3,499.3,499.3
A,4,699.1,699.1
A,5,798.9,898.9
A,6,998.7,998.6
A,7,1198.5,1198.4
A,8,1298.2,1398.2
A,9,1498.0,1498.0
A,10,1697.8,1697.7
A,11,1797.6,1897.5
A,12,1997.4,1997.3
A,13,2097.1,2197.1
A,14,2296.9,2396.8
A,15,2496.7,2596.6
A,16,2596.5,2696.4
A,17,2796.3,2896.2
A,18,2996.0,3095.9
A,19,3095.8,3195.7
A,20,3295.6,3395.5
A,21,3495.4,3595.2
A,22,3595.2,3695.0
A,23,3795.0,3894.8
A,24,3994.7,4094.6
A,25,4094.5,4294.3
A,26,4294.3,4394.1
A,27,4494.1,4593.9
A,28,4593.9,4793.7
A,29,4793.6,4893.4
A,30,4993.4,5093.2
A,31,5093.2,5293.0
A,32,5293.0,5392.8
A,33,5392.8,5592.5
A,34,5592.5,5792.3
A,35,5792.3,5992.1
A,36,5892.1,6091.9
A,37,6091.9,6291.6
A,38,6291.7,6491.4
A,39,6391.4,6591.2
A,40,6591.2,6791.0
A,41,6791.0,6990.7
A,42,6890.8,7090.5
A,43,7090.6,7290.3
A,44,7290.3,7490.0
A,45,7390.1,7689.8
A,46,7589.9,7789.6
A,47,7789.7,7989.4
A,48,7889.5,8189.1
A,49,8089.2,8288.9
A,50,8289.0,8488.7
A,51,8388.8,8688.5
A,52,8588.6,8788.2
A,53,8688.4,8988.0
A,54,8888.1,9187.8
B,1,200.0,200.0
B,2,299.9,299.9
B,3,499.9,499.9
B,4,699.8,699.8
B,5,799.8,899.8
B,6,999.7,999.7
B,7,1199.7,1199.7
B,8,1299.7,1399.7
B,9,1499.6,1499.6
B,10,1699.6,1699.6
B,11,1799.5,1899.5
B,12,1999.5,1999.5
B,13,2099.4,2199.4
B,14,2299.4,2399.4
B,15,2499.4,2599.3
B,16,2599.3,2699.3
B,17,2799.3,2899.3
B,18,2999.2,3099.2
B,19,3099.2,3199.2
B,20,3299.2,3399.1
B,21,3499.1,3599.1
B,22,3599.1,3699.0
B,23,3799.0,3899.0
B,24,3999.0,4099.0
B,25,4098.9,4298.9
B,26,4298.9,4398.9
B,27,4498.9,4598.8
B,28,4598.8,4798.8
B,29,4798.8,4898.7
B,30,4998.7,5098.7
B,31,5098.7,5298.6
B,32,5298.6,5398.6
B,33,5398.6,5598.6
B,34,5598.6,5798.5
B,35,5798.5,5998.5
B,36,5898.5,6098.4
B,37,6098.4,6298.4
B,38,6298.4,6498.3
B,39,6398.3,6598.3
B,40,6598.3,6798.3
B,41,6798.3,6998.2
B,42,6898.2,7098.2
B,43,7098.2,7298.1
B,44,7298.1,7498.1
B,45,7398.1,7698.0
B,46,7598.0,7798.0
B,47,7797.0,7997.9
B,48,7897.0,8197.9
B,49,8097.9,8297.9
B,50,8297.9,8497.8
B,51,8397.8,8697.8
B,52,8597.8,8797.7
B,53,8697.8,8997.7
B,54,8897.7,9197.6
B,55,9097.7,9397.6
B,56,9197.6,9497.6
B,57,9397.6,9697.5
B,58,9597.5,9897.5
B,59,9697.5,9997.4
B,60,9897.5,10197.4
B,61,10097.4,10397.3
B,62,10197.4,10497.3
B,63,10397.3,10697.2
B,64,10597.3,10897.2
B,65,10697.2,11097.2
B,66,10897.2,11197.1
B,67,11097.2,11397.1
B,68,11197.1,11597.0
B,69,11397.1,11697.0
B,70,11597.0,11896.9
B,71,11697.0,12096.9
B,72,11896.9,12196.9
B,73,11996.9,12396.8
B,74,12196.9,12596.8
B,75,12396.8,12796.7
B,76,12496.8,12896.7
B,77,12696.7,13096.6
B,78,12996.7,13296.6
B,79,12996.6,13396.5
B,80,13196.6,13596.5
C,1,200.1,200.2
C,2,300.3,300.3
C,3,500.4,500.5
C,4,700.6,700.6
C,5,800.7,900.8
C,6,1000.9,1000.9
C,7,1201.0,1201.1
C,8,1301.2,1401.2
C,9,1501.3,1501.4
C,10,1701.5,1701.5
C,11,1801.6,1901.7
C,12,2001.8,2001.8
C,13,2101.9,2202.0
C,14,2302.0,2402.1
C,15,2502.2,2602.3
C,16,2602.3,2702.4
C,17,2802.5,2902.6
C,18,3002.6,3102.7
C,19,3102.8,3202.9
C,20,3302.9,3403.0
C,21,3503.1,3603.2
C,22,3603.2,3703.3
C,23,3803.4,3903.5
C,24,4003.5,4103.6
C,25,4103.7,4303.8
C,26,4303.8,4403.9
C,27,4503.9,4604.1
C,28,4604.1,4804.2
C,29,4804.2,4904.4
C,30,5004.4,5104.5
C,31,5104.5,5304.7
C,32,5304.7,5404.8
C,33,5404.8,5605.2
C,34,5605.0,5805.1
C,35,5805.1,6005.3
C,36,5905.3,6105.4
C,37,6105.4,6305.6
C,38,6305.6,6505.7
C,39,6405.7,6605.9
C,40,6605.8,6806.0
C,41,6806.0,7006.2
C,42,6906.1,7106.3
C,43,7106.3,7306.5
C,44,7306.4,7506.6
C,45,7406.6,7706.8
C,46,7606.7,7806.9
C,47,7806.9,8007.1
C,48,7907.0,8207.2
C,49,8107.2,8307.4
C,50,8307.3,8507.5
C,51,8407.5,8707.7
C,52,8607.6,8807.8
C,53,8707.7,9008.0
C,54,8907.9,9208.1
C,55,9108.0,9408.3
C,56,9208.2,9508.4
C,57,9408.3,9708.6
C,58,9608.5,9908.7
C,59,9708.6,10008.9
C,60,9908.8,10209.2
C,61,10108.9,10409.5
C,62,10209.1,10509.3
C,63,10409.2,10709.5
C,64,10609.4,10909.6
C,65,10709.5,11109.8
C,66,10909.7,11209.9
C,67,11109.8,11410.1
C,68,11209.9,11610.2
C,69,11410.1,11710.4
C,70,11610.2,11910.5
C,71,11710.4,12110.7
C,72,11910.5,12210.8
C,73,12010.7,12411.0
C,74,12210.8,12611.1
C,75,12411.0,12811.3
C,76,12511.1,12911.5
C,77,12711.3,13111.6
C,78,12911.4,13311.8
C,79,13011.6,13411.9
C,80,13211.7,13612.1
C,81,13411.8,13812.2
C,82,13512.0,13912.4
C,83,13712.1,14112.5
C,84,13912.3,14312.7
